N,P,K,ph,moisture,organic_carbon,soil_quality
11,16,28,4.92,42,0.4,Bad
15,8,21,7.93,43,1.06,Bad
63,51,29,6.59,55,0.2,Bad
13,13,50,7.59,36,1.04,Bad
63,43,59,5.01,16,0.72,Bad
72,46,35,8.13,58,1.12,Bad
27,32,32,6.86,24,0.4,Bad
99,27,54,7.45,26,0.3,Bad
53,49,32,4.63,18,0.82,Bad
43,44,26,5.76,22,0.91,Bad
83,48,9,5.57,41,0.57,Bad
71,26,58,8.3,11,0.21,Bad
23,28,48,5.24,68,0.61,Bad
57,55,46,7.33,41,0.43,Bad
24,30,12,4.67,56,0.55,Bad
81,34,42,5.29,29,0.71,Bad
87,37,32,5.85,52,0.9,Bad
96,20,51,7.68,28,1.16,Bad
71,26,16,7.66,55,0.34,Bad
49,53,29,8.31,36,0.88,Bad
94,54,42,8.17,45,0.43,Bad
89,47,48,4.83,68,0.42,Bad
91,22,19,7.82,39,0.83,Bad
62,11,48,6.3,20,0.98,Bad
33,54,45,7.96,25,1.18,Bad
35,30,55,4.86,64,0.97,Bad
98,12,57,7.79,35,0.36,Bad
69,10,38,5.14,39,0.43,Bad
50,34,49,5.84,11,0.96,Bad
38,43,17,4.62,43,0.73,Bad
24,27,12,4.99,50,0.5,Bad
54,36,17,6.28,31,0.67,Bad
74,26,40,7.77,68,1.11,Bad
98,46,10,7.59,40,0.96,Bad
80,47,42,5.44,64,0.65,Bad
18,49,36,5.11,62,1.18,Bad
97,13,25,6.06,30,0.99,Bad
10,35,48,8.03,45,0.21,Bad
17,11,48,4.87,49,0.31,Bad
97,13,53,6.67,32,0.75,Bad
72,17,11,4.86,35,0.55,Bad
20,7,30,6.38,27,1.01,Bad
90,39,19,5.01,24,1.1,Bad
17,37,53,4.82,43,0.44,Bad
44,25,46,5.26,31,0.96,Bad
44,35,27,5.52,37,0.74,Bad
42,56,56,5.61,52,0.59,Bad
14,38,42,7.08,58,0.99,Bad
50,36,45,4.72,16,0.76,Bad
37,39,19,4.82,49,0.84,Bad
16,19,52,5.25,51,0.26,Bad
82,36,57,7.99,33,0.79,Bad
81,10,44,7.01,44,0.5,Bad
21,49,20,7.42,22,0.69,Bad
43,25,36,5.98,64,0.42,Bad
42,37,41,5.35,58,0.81,Bad
57,36,22,4.65,22,0.35,Bad
32,56,24,6.45,40,0.32,Bad
71,23,50,6.8,68,0.39,Bad
97,37,6,8.09,28,1.02,Bad
46,32,59,8.03,38,0.23,Bad
53,35,27,6.2,31,0.93,Bad
95,25,34,6.19,50,0.26,Bad
44,58,7,5.14,30,0.79,Bad
74,38,50,5.53,25,0.97,Bad
56,19,43,8.2,39,0.43,Bad
87,18,51,5.06,14,0.4,Bad
12,23,53,8.37,50,0.49,Bad
10,47,5,6.52,69,0.9,Bad
14,19,45,6.33,50,0.45,Bad
99,10,26,5.2,15,0.7,Bad
23,56,33,7.15,30,0.33,Bad
36,13,18,6.34,51,0.66,Bad
18,41,52,5.98,59,0.82,Bad
88,24,32,5.56,20,0.27,Bad
24,38,25,4.77,33,1.02,Bad
99,42,49,6.58,37,1.14,Good
51,30,36,5.75,65,0.39,Bad
86,22,10,7.33,24,0.96,Bad
60,32,58,7.39,48,0.51,Good
72,59,5,5.83,55,0.88,Bad
61,55,25,7.18,49,0.51,Bad
13,13,8,5.53,60,1.06,Bad
32,36,7,7.41,56,0.55,Bad
24,57,53,4.56,28,1.05,Bad
52,10,34,5.11,59,0.97,Bad
38,18,35,5.48,26,0.4,Bad
45,32,38,7.59,12,0.36,Bad
22,28,23,4.77,12,0.98,Bad
41,17,24,5.25,48,0.59,Bad
80,47,27,5.93,37,1.15,Bad
68,16,58,4.54,40,1.14,Bad
95,55,44,7.55,51,0.89,Bad
37,23,29,6.74,66,0.7,Bad
75,25,19,8.1,69,0.39,Bad
51,31,42,4.62,58,1.08,Bad
54,23,27,5.59,56,0.28,Bad
71,28,56,7.43,17,0.57,Bad
66,30,6,7.2,26,0.52,Bad
15,49,19,5.47,44,1.16,Bad
37,32,56,6.88,45,0.32,Bad
37,50,48,7.68,36,1.09,Bad
53,22,39,4.63,49,0.66,Bad
93,48,14,7.37,54,0.25,Bad
39,40,18,5.51,42,0.93,Bad
71,46,31,8.29,69,0.3,Bad
84,33,58,6.65,59,0.44,Bad
98,21,18,4.63,20,1.0,Bad
71,8,39,6.11,30,0.35,Bad
10,48,37,8.37,15,0.53,Bad
36,49,56,7.42,57,0.56,Bad
71,33,5,5.7,30,0.79,Bad
86,8,38,6.8,60,0.99,Bad
12,14,23,6.9,67,0.43,Bad
79,29,28,4.59,64,0.41,Bad
81,35,46,5.22,37,0.42,Bad
36,7,8,6.71,26,0.58,Bad
18,51,40,6.11,27,0.74,Bad
71,6,17,5.26,20,0.21,Bad
46,29,36,7.59,55,0.98,Bad
60,53,13,6.46,53,1.13,Bad
53,10,43,5.74,34,1.04,Bad
33,30,20,5.15,39,0.24,Bad
88,12,54,6.94,61,0.72,Bad
68,39,7,7.17,65,1.01,Bad
41,31,56,7.18,34,0.54,Bad
97,29,24,5.38,16,1.1,Bad
61,22,14,6.88,58,1.09,Bad
71,58,26,8.12,46,0.34,Bad
67,5,52,5.91,63,0.69,Bad
61,52,7,5.34,55,0.23,Bad
21,43,15,7.59,36,0.48,Bad
48,7,29,5.21,65,1.01,Bad
11,59,46,5.51,35,1.18,Bad
12,8,52,4.9,22,1.11,Bad
65,45,12,5.57,33,0.24,Bad
90,41,13,6.14,21,1.13,Bad
68,55,19,4.76,23,1.02,Bad
11,19,36,7.99,66,1.07,Bad
11,12,57,6.55,18,1.11,Bad
63,42,7,6.85,40,0.69,Bad
96,54,8,5.99,13,0.41,Bad
10,23,34,7.18,63,0.22,Bad
28,51,17,6.23,28,0.22,Bad
11,30,48,7.55,10,0.84,Bad
62,43,25,7.79,38,0.54,Bad
53,14,45,7.19,54,0.7,Bad
99,42,50,6.47,15,0.33,Bad
41,18,23,7.63,10,1.18,Bad
79,53,43,6.48,34,0.33,Bad
41,45,52,4.95,36,0.64,Bad
77,23,26,4.97,31,0.64,Bad
64,34,24,8.29,26,0.21,Bad
84,9,41,5.35,68,0.87,Bad
65,59,35,7.76,38,0.74,Bad
26,35,14,5.49,12,0.7,Bad
47,11,22,6.22,26,1.02,Bad
33,23,47,7.12,11,0.44,Bad
78,35,43,5.14,41,1.06,Bad
79,56,50,7.45,31,1.06,Good
95,43,24,7.26,48,1.03,Bad
20,28,22,6.67,42,0.54,Bad
25,38,15,6.76,67,0.36,Bad
82,27,26,4.92,62,0.68,Bad
68,52,48,6.24,31,0.46,Bad
79,49,22,4.85,56,0.25,Bad
89,44,38,5.73,13,0.48,Bad
12,10,27,8.1,47,0.67,Bad
29,42,5,6.8,62,0.31,Bad
68,45,59,7.47,22,1.14,Good
45,40,14,6.8,68,0.86,Bad
28,31,57,5.28,32,0.34,Bad
99,15,5,6.88,22,1.01,Bad
76,9,42,7.52,29,1.13,Bad
28,21,43,5.05,42,0.46,Bad
29,56,53,7.77,43,0.34,Bad
80,11,13,6.72,47,0.52,Bad
61,31,35,4.52,38,1.03,Bad
42,51,11,6.58,67,0.38,Bad
49,19,21,6.08,41,0.98,Bad
48,50,39,5.69,20,0.92,Bad
91,17,52,7.59,27,0.85,Bad
10,15,41,8.1,54,0.63,Bad
20,49,56,7.55,30,0.57,Bad
66,30,22,7.89,21,0.29,Bad
98,26,37,8.14,61,0.56,Bad
59,32,8,8.15,48,0.8,Bad
32,28,27,4.96,29,1.1,Bad
40,33,15,6.33,16,1.03,Bad
51,13,56,4.5,36,0.23,Bad
16,46,13,6.53,65,0.34,Bad
25,8,34,8.2,16,1.05,Bad
99,53,12,5.3,11,1.14,Bad
69,50,44,7.06,52,0.26,Bad
11,22,9,7.08,42,0.9,Bad
10,47,16,5.14,30,0.57,Bad
57,20,5,5.45,38,0.56,Bad
21,37,19,6.35,41,0.84,Bad
78,33,29,5.25,54,1.01,Bad
46,43,22,6.84,21,0.47,Bad
41,14,42,6.44,22,0.91,Bad
18,13,46,6.58,48,0.84,Bad
28,35,50,5.04,53,0.72,Bad
57,32,57,6.57,58,0.8,Good
89,7,30,4.7,68,0.22,Bad
12,58,44,8.03,49,0.2,Bad
29,59,7,5.87,12,0.75,Bad
33,18,58,7.93,48,0.72,Bad
63,29,26,7.31,60,0.27,Bad
42,19,30,7.56,61,0.69,Bad
33,6,23,5.76,17,0.96,Bad
84,28,48,5.41,55,0.74,Bad
81,18,48,6.13,55,0.72,Bad
45,52,51,4.6,11,0.92,Bad
47,11,43,8.18,15,0.37,Bad
93,40,40,6.05,57,0.66,Good
98,54,25,8.45,67,0.35,Bad
34,28,45,7.55,50,0.72,Bad
27,31,58,4.82,67,0.79,Bad
91,41,52,7.14,66,0.32,Bad
75,42,30,5.58,62,0.28,Bad
63,34,17,5.47,24,0.37,Bad
44,31,40,5.53,60,0.79,Bad
89,43,28,8.16,56,0.39,Bad
70,19,45,6.5,63,0.48,Bad
50,30,30,7.18,21,0.9,Good
42,5,25,5.62,50,0.45,Bad
77,8,22,6.59,57,0.6,Bad
42,33,19,5.9,41,1.13,Bad
23,5,19,5.78,15,1.02,Bad
30,47,10,5.49,61,0.46,Bad
57,54,47,6.14,69,0.8,Bad
29,50,35,7.14,36,0.87,Bad
17,26,32,5.39,56,1.1,Bad
16,15,12,8.36,22,0.75,Bad
76,14,33,5.0,62,0.76,Bad
26,21,25,6.42,32,1.09,Bad
42,40,21,4.84,19,0.25,Bad
57,51,53,4.59,23,0.83,Bad
85,30,28,8.19,12,0.62,Bad
68,52,54,7.74,21,1.11,Bad
95,25,40,7.28,34,1.16,Bad
31,17,35,7.96,10,0.37,Bad
39,13,51,7.71,41,0.48,Bad
47,15,38,7.09,33,0.47,Bad
60,15,6,7.89,62,0.3,Bad
63,10,46,6.06,57,0.68,Bad
17,5,7,6.71,51,0.71,Bad
36,58,34,7.61,18,0.77,Bad
36,10,12,4.84,59,0.86,Bad
30,17,56,7.93,10,0.26,Bad
39,26,11,5.13,51,0.82,Bad
37,35,16,7.96,48,1.11,Bad
73,26,23,5.75,19,0.65,Bad
78,41,30,5.81,53,0.31,Bad
70,51,32,4.8,52,0.29,Bad
57,31,19,8.04,50,0.48,Bad
28,54,18,5.2,39,0.95,Bad
13,56,52,7.02,14,0.46,Bad
44,18,18,7.08,68,1.01,Bad
73,51,7,5.62,13,1.02,Bad
58,9,54,8.44,61,0.66,Bad
26,40,33,4.76,69,0.5,Bad
53,36,58,6.93,54,0.8,Good
39,38,10,6.42,17,1.01,Bad
55,11,53,5.48,25,0.26,Bad
15,46,27,5.15,10,1.15,Bad
46,52,32,7.45,58,0.85,Bad
33,14,18,8.17,24,0.6,Bad
55,54,18,4.93,33,0.71,Bad
62,21,24,5.28,24,0.59,Bad
69,34,17,8.45,59,0.61,Bad
72,25,31,4.56,67,0.8,Bad
94,17,39,6.53,15,0.26,Bad
41,5,49,6.56,11,0.38,Bad
96,5,6,5.55,14,0.43,Bad
42,51,45,7.15,60,0.61,Bad
76,37,49,8.28,48,0.57,Bad
27,42,44,6.3,50,0.92,Bad
34,29,52,7.5,43,0.46,Bad
63,30,28,7.08,48,0.26,Bad
67,17,33,6.39,41,0.26,Bad
76,32,7,4.7,38,0.21,Bad
55,37,49,7.47,38,0.24,Bad
33,41,8,5.95,33,1.06,Bad
41,45,54,5.4,55,0.9,Bad
56,34,6,8.29,67,1.2,Bad
95,53,24,7.59,40,0.22,Bad
32,52,58,8.35,33,1.05,Bad
75,12,57,5.52,64,0.9,Bad
36,53,19,7.84,24,0.84,Bad
11,51,53,6.93,21,0.56,Bad
99,5,36,8.43,29,0.58,Bad
26,16,46,8.29,13,1.05,Bad
42,9,5,8.39,67,0.91,Bad
18,28,42,8.31,22,0.87,Bad
52,10,39,4.53,50,0.23,Bad
57,29,55,7.46,53,0.38,Bad
48,5,11,5.59,19,1.16,Bad
51,29,49,7.32,50,0.65,Bad
35,5,17,8.42,62,0.98,Bad
59,36,53,4.66,32,0.59,Bad
34,46,5,6.77,16,0.96,Bad
33,46,18,7.44,66,0.32,Bad
22,7,33,5.51,21,0.24,Bad
69,53,7,5.4,57,0.67,Bad
16,23,50,4.74,24,0.79,Bad
66,47,28,4.88,16,0.52,Bad
45,33,5,7.13,17,0.92,Bad
54,54,52,6.52,16,0.7,Bad
29,6,14,4.62,52,1.13,Bad
74,13,17,8.38,13,0.28,Bad
17,21,40,7.12,69,0.27,Bad
25,50,13,6.56,59,1.11,Bad
23,40,18,5.59,60,0.87,Bad
85,21,40,7.13,16,0.87,Bad
96,53,14,5.96,68,0.23,Bad
24,16,44,7.31,68,1.14,Bad
75,24,27,7.23,54,0.97,Bad
41,54,39,4.87,50,0.96,Bad
96,7,59,8.14,39,1.11,Bad
72,47,11,6.45,68,0.78,Bad
95,54,46,6.07,27,0.59,Good
60,8,39,8.32,39,0.68,Bad
34,21,6,6.25,16,0.98,Bad
67,54,19,7.38,61,0.97,Bad
72,41,13,7.12,57,0.81,Bad
71,50,51,5.16,32,0.42,Bad
31,46,21,8.46,69,1.02,Bad
67,19,43,6.35,46,0.85,Bad
67,37,56,6.08,16,0.42,Bad
95,20,22,8.18,47,0.68,Bad
58,15,19,6.62,38,1.2,Bad
61,59,22,7.32,43,0.53,Bad
51,24,28,7.88,69,0.32,Bad
79,42,27,5.44,48,0.22,Bad
24,28,16,5.18,62,0.38,Bad
63,58,27,4.77,50,0.39,Bad
69,20,25,8.09,54,1.06,Bad
17,34,30,5.3,68,0.36,Bad
62,38,12,5.73,58,1.06,Bad
69,5,34,5.64,58,0.29,Bad
14,28,38,5.72,56,1.11,Bad
77,28,6,7.17,27,0.46,Bad
15,13,9,8.32,65,0.81,Bad
56,26,35,5.82,56,0.36,Bad
64,16,37,6.13,52,0.59,Bad
49,21,58,7.58,34,0.29,Bad
61,29,8,6.23,36,0.78,Bad
25,32,10,8.2,36,0.55,Bad
22,19,27,6.51,21,1.05,Bad
39,34,49,5.89,32,0.38,Bad
28,55,23,8.39,26,0.48,Bad
26,31,47,6.2,53,0.38,Bad
72,26,49,5.42,16,0.76,Bad
28,14,12,5.21,33,0.31,Bad
67,35,43,8.48,16,0.39,Bad
64,31,17,7.51,38,0.88,Bad
99,16,5,6.13,69,0.27,Bad
99,50,10,7.81,62,0.94,Bad
71,35,11,6.69,37,0.3,Bad
32,36,52,5.77,32,0.79,Bad
18,36,31,7.47,19,1.2,Bad
21,45,19,7.48,25,0.37,Bad
10,49,56,6.5,52,0.46,Bad
67,39,38,4.68,57,1.1,Bad
10,57,27,4.81,43,0.83,Bad
43,50,52,7.65,34,0.69,Bad
57,25,53,7.79,11,0.76,Bad
98,14,28,7.21,59,0.5,Bad
10,20,19,7.86,14,1.06,Bad
25,11,39,7.38,23,0.95,Bad
70,8,8,8.09,40,0.84,Bad
73,31,48,5.1,49,1.13,Bad
72,56,41,6.05,15,0.78,Bad
78,59,21,6.36,37,0.71,Bad
31,29,35,5.69,18,1.18,Bad
76,35,42,7.4,15,0.41,Bad
85,15,14,8.15,62,0.34,Bad
35,52,58,6.15,26,0.36,Bad
25,24,54,8.27,49,1.19,Bad
60,40,31,6.57,44,0.85,Good
95,58,46,6.59,21,0.51,Good
66,58,10,6.9,54,0.45,Bad
38,59,10,5.57,27,0.26,Bad
87,21,56,6.03,64,0.33,Bad
78,49,19,6.71,52,1.11,Bad
56,15,8,8.27,43,0.95,Bad
71,34,52,7.07,55,1.14,Good
78,39,58,5.83,10,0.62,Bad
85,45,44,4.54,68,0.8,Bad
25,42,11,8.43,24,0.68,Bad
99,26,55,6.47,27,1.08,Bad
99,57,53,8.25,31,1.19,Bad
57,47,57,6.7,27,1.13,Good
94,52,49,6.92,58,0.8,Good
48,55,51,7.35,10,0.26,Bad
42,31,30,5.78,55,0.82,Bad
32,41,35,7.3,29,0.3,Bad
19,50,6,6.61,65,0.34,Bad
78,53,32,7.19,63,0.39,Bad
43,39,46,7.84,57,0.56,Bad
61,8,17,5.24,45,0.79,Bad
19,20,22,6.95,63,0.53,Bad
28,20,34,4.71,47,0.65,Bad
67,25,59,4.91,34,0.25,Bad
10,30,15,7.2,25,0.82,Bad
78,40,17,4.78,29,0.86,Bad
13,23,55,6.88,47,0.3,Bad
25,21,28,5.38,56,0.99,Bad
33,49,33,5.72,67,0.85,Bad
89,30,58,5.02,42,0.69,Bad
11,26,9,5.49,16,0.75,Bad
41,59,39,7.79,32,0.7,Bad
93,32,23,7.06,20,0.25,Bad
33,5,59,8.3,42,0.94,Bad
21,48,17,4.69,49,0.71,Bad
59,40,9,7.67,55,0.37,Bad
44,47,48,7.3,14,0.88,Bad
42,41,18,5.54,54,0.9,Bad
42,6,42,7.42,56,0.41,Bad
70,21,26,7.37,50,1.0,Bad
60,44,13,6.34,17,0.66,Bad
52,42,53,7.25,60,0.38,Bad
21,25,44,6.28,26,0.86,Bad
76,13,30,5.84,60,0.8,Bad
74,17,49,6.37,27,0.37,Bad
42,15,9,8.08,59,1.07,Bad
49,20,33,6.04,36,1.05,Bad
83,20,58,6.11,40,1.04,Bad
52,6,26,6.93,13,0.6,Bad
53,46,53,7.51,11,1.02,Bad
38,48,7,7.44,65,1.04,Bad
22,12,32,4.58,14,1.2,Bad
21,47,42,7.25,26,1.16,Bad
55,46,18,6.3,63,0.58,Bad
11,17,51,6.6,69,0.4,Bad
44,21,18,6.75,48,0.49,Bad
96,43,47,7.43,41,0.69,Good
90,28,15,7.83,38,1.01,Bad
99,7,13,7.09,25,0.92,Bad
17,34,42,6.76,10,0.99,Bad
35,56,51,6.0,21,0.58,Bad
83,17,48,5.05,28,0.45,Bad
99,23,10,8.33,18,0.22,Bad
43,11,5,6.35,57,0.83,Bad
16,13,29,6.76,16,1.0,Bad
77,23,20,7.5,39,1.09,Bad
67,49,56,4.77,24,0.68,Bad
84,58,19,7.92,53,1.13,Bad
38,44,38,7.69,13,0.4,Bad
45,26,21,7.6,15,0.71,Bad
98,22,7,4.59,47,0.41,Bad
30,27,7,6.61,56,0.39,Bad
45,6,41,4.72,69,1.15,Bad
19,54,21,6.7,44,1.02,Bad
82,54,59,7.37,11,0.21,Bad
33,15,53,4.99,14,0.47,Bad
73,35,56,7.28,17,0.41,Bad
58,37,42,6.3,60,0.35,Bad
45,18,5,7.75,62,0.9,Bad
91,20,11,6.63,39,0.77,Bad
33,15,30,5.84,57,0.65,Bad
32,37,51,5.83,28,0.39,Bad
71,11,43,8.09,39,0.48,Bad
46,35,23,6.31,64,0.56,Bad
21,52,56,6.12,40,0.99,Bad
64,50,58,4.66,25,1.19,Bad
22,51,34,5.96,47,0.38,Bad
32,18,47,7.9,31,0.54,Bad
98,32,59,7.54,42,0.48,Bad
39,57,18,5.38,59,0.24,Bad
26,47,17,6.15,31,0.42,Bad
71,20,24,5.29,17,1.1,Bad
93,23,30,8.32,46,1.04,Bad
98,21,31,6.89,21,0.37,Bad
95,30,29,7.52,59,0.57,Bad
22,10,13,7.36,14,0.51,Bad
68,47,45,7.99,34,0.35,Bad
28,53,52,8.3,63,0.82,Bad
58,13,16,4.63,38,0.76,Bad
21,54,14,8.4,22,0.63,Bad
70,21,10,7.98,62,1.06,Bad
28,35,54,6.03,35,0.82,Bad
85,16,38,7.85,31,0.46,Bad
18,27,56,7.45,38,0.57,Bad
80,58,45,7.67,21,0.35,Bad
37,58,23,5.38,57,0.79,Bad
87,9,10,7.09,55,0.79,Bad
61,47,6,4.6,52,1.07,Bad
92,40,19,7.89,37,1.06,Bad
25,40,21,8.3,18,1.04,Bad
78,7,20,7.15,64,0.75,Bad
21,28,32,6.55,19,0.85,Bad
34,59,25,7.4,57,0.98,Bad
61,21,12,5.81,60,0.29,Bad
94,43,14,7.01,51,0.5,Bad
62,30,14,7.38,35,0.37,Bad
32,8,54,5.07,62,0.71,Bad
25,59,14,5.06,45,1.04,Bad
66,49,13,7.36,68,0.43,Bad
48,16,32,6.23,62,0.93,Bad
62,5,28,8.06,49,0.61,Bad
51,25,23,5.75,20,1.1,Bad
67,23,37,4.67,15,0.83,Bad
48,25,8,7.1,13,1.18,Bad
23,56,7,7.24,62,0.45,Bad
14,22,46,6.71,36,1.12,Bad
44,47,16,7.23,64,0.56,Bad
96,56,22,6.6,33,0.82,Bad
84,7,27,7.27,14,0.37,Bad
27,53,24,4.68,59,0.96,Bad
85,48,10,5.97,63,1.18,Bad
18,36,57,5.34,66,0.99,Bad
83,14,38,4.9,12,0.82,Bad
67,44,46,5.44,16,0.65,Bad
26,19,6,5.27,33,0.55,Bad
16,9,34,8.39,31,0.62,Bad
55,8,13,5.65,21,0.53,Bad
22,32,31,5.42,44,1.03,Bad
49,57,46,7.84,26,1.09,Bad
51,56,38,6.18,12,1.15,Bad
18,55,44,6.19,20,0.62,Bad
59,57,28,6.27,15,0.75,Bad
36,8,53,6.17,52,0.78,Bad
75,19,21,5.81,45,0.85,Bad
14,21,33,5.65,26,0.2,Bad
38,48,40,8.03,31,1.04,Bad
46,7,54,5.15,10,0.47,Bad
47,14,16,5.22,53,0.67,Bad
92,51,35,6.79,65,1.04,Bad
17,46,53,5.87,12,1.2,Bad
74,27,13,6.19,25,0.99,Bad
95,22,23,7.73,44,0.22,Bad
26,5,50,8.11,23,0.57,Bad
80,39,50,7.66,58,0.45,Bad
98,57,21,5.44,60,1.16,Bad
54,35,6,8.42,16,0.46,Bad
13,48,44,5.95,35,1.14,Bad
45,5,9,5.18,65,1.14,Bad
79,7,43,6.5,52,1.04,Bad
40,7,58,7.4,57,0.3,Bad
28,41,52,4.83,40,0.2,Bad
70,23,20,7.04,33,0.99,Bad
63,33,21,7.93,28,1.04,Bad
48,29,58,5.55,46,1.16,Bad
83,37,31,7.27,10,0.42,Bad
99,40,11,6.1,34,0.93,Bad
28,33,56,6.16,65,0.72,Bad
48,30,12,5.62,19,0.53,Bad
76,8,12,7.0,27,0.81,Bad
54,53,27,5.94,51,0.75,Bad
22,18,36,7.82,10,0.49,Bad
67,54,47,8.35,38,0.47,Bad
29,31,51,8.24,22,0.69,Bad
81,37,22,5.15,13,0.67,Bad
70,26,42,4.56,66,0.5,Bad
48,52,58,6.25,21,0.46,Bad
10,7,16,7.42,65,1.15,Bad
12,27,19,8.41,57,1.06,Bad
86,25,32,7.63,28,1.02,Bad
71,45,59,6.82,35,0.41,Bad
72,27,42,4.61,53,0.39,Bad
34,8,54,7.8,47,1.01,Bad
65,25,35,5.21,25,0.38,Bad
42,41,56,4.72,53,0.7,Bad
47,47,13,7.9,34,0.42,Bad
15,35,12,6.77,67,0.58,Bad
67,25,50,5.01,65,1.05,Bad
53,30,23,6.05,19,1.09,Bad
54,45,55,4.84,46,1.2,Bad
41,39,12,7.05,37,1.14,Bad
54,42,38,5.63,37,0.87,Bad
70,28,8,7.96,34,0.63,Bad
56,15,35,5.93,34,0.26,Bad
30,45,42,6.48,60,0.81,Bad
89,33,7,4.75,21,0.41,Bad
94,51,39,5.6,17,1.05,Bad
84,59,23,7.21,45,0.75,Bad
45,7,47,7.45,67,0.93,Bad
28,5,33,5.47,48,0.87,Bad
29,56,14,6.52,67,0.55,Bad
66,58,16,7.77,33,0.96,Bad
27,23,50,6.02,32,1.04,Bad
56,50,34,5.04,46,0.94,Bad
58,53,34,6.23,20,0.98,Good
23,26,22,6.9,26,0.56,Bad
24,18,28,4.53,37,1.14,Bad
40,53,36,5.89,65,0.62,Bad
10,18,13,6.93,62,1.1,Bad
63,48,51,8.31,12,1.06,Bad
12,20,28,6.13,11,0.32,Bad
25,37,30,5.15,60,1.17,Bad
96,17,7,6.64,38,1.2,Bad
66,42,27,5.64,66,0.81,Bad
84,53,15,5.36,43,0.98,Bad
21,16,14,6.86,23,1.13,Bad
83,59,54,8.16,67,0.22,Bad
25,55,40,7.84,42,1.13,Bad
81,42,17,5.23,57,0.83,Bad
85,43,33,7.56,56,1.03,Bad
33,37,42,5.42,27,0.74,Bad
37,37,57,5.66,38,0.73,Bad
17,33,17,8.18,11,1.1,Bad
45,9,30,8.14,69,0.71,Bad
99,10,24,5.17,20,0.67,Bad
17,35,9,4.76,40,0.81,Bad
67,20,24,5.67,62,0.72,Bad
69,35,18,6.83,58,0.65,Bad
59,29,49,8.01,22,0.38,Bad
37,52,18,4.98,53,0.6,Bad
50,50,12,6.16,35,0.48,Bad
73,37,52,5.59,65,0.6,Bad
36,17,17,4.56,43,0.79,Bad
72,56,28,7.65,63,0.81,Bad
26,14,19,7.75,62,0.44,Bad
82,28,55,5.38,59,0.28,Bad
42,14,5,5.1,19,0.94,Bad
93,45,26,5.08,21,0.73,Bad
86,35,38,6.36,58,0.64,Good
38,17,54,5.49,31,0.33,Bad
22,7,55,6.55,55,0.61,Bad
55,54,44,6.04,63,1.02,Bad
44,56,7,5.34,40,0.78,Bad
15,38,59,7.5,28,0.29,Bad
91,53,30,5.1,54,0.53,Bad
78,32,18,7.7,33,1.18,Bad
56,23,45,6.75,34,0.74,Bad
34,27,12,7.83,44,0.49,Bad
75,49,53,4.52,66,1.11,Bad
19,36,59,7.5,17,0.54,Bad
